Rank,Model,BT Rating,95% CI,Stable ELO,Wins,Losses,Ties,Win%
1,GPT-5,1268.25,"[1256.5, 1281.1]",1256.5,4418,1181,1,78.9%
2,Kimi-K2,1228.24,"[1217.3, 1239.4]",1254.2,4192,1408,0,74.9%
3,HumorGen DPO-Think-7B,1147.52,"[1136.8, 1158.8]",1137.1,3686,1914,0,65.8%
4,HumorGen DPO-7B,1138.05,"[1130.3, 1147.2]",1116.9,3623,1976,1,64.7%
5,HumorGen SFT-7B,1132.41,"[1121.0, 1141.2]",1148.2,3586,2014,0,64.0%
6,HumorGen SFT-Think-7B,1105.57,"[1094.0, 1115.2]",1119.2,3406,2194,0,60.8%
7,HumorGen GRPO-Think-7B,1084.61,"[1075.2, 1097.0]",1081.2,3264,2336,0,58.3%
8,HumorGen GRPO-7B,1080.19,"[1070.3, 1090.1]",1091.1,3234,2366,0,57.8%
9,GPT-OSS-120B,1055.91,"[1046.4, 1065.5]",1059.7,3069,2531,0,54.8%
10,Gemini-2.5-Pro,1035.1,"[1025.1, 1046.1]",1032.2,2926,2670,4,52.2%
11,Qwen3-32B,1000.83,"[991.1, 1011.4]",991.4,2698,2901,1,48.2%
12,phi2-Humor,758.74,"[746.6, 769.0]",749.7,1300,4300,0,23.2%
13,Base Qwen-7B,702.6,"[689.6, 715.1]",693.3,1046,4554,0,18.7%
14,HumorGen-Com-7B,682.92,"[666.9, 692.9]",681.5,951,4624,25,17.0%
15,JokeGPT,579.04,"[563.9, 596.0]",588.0,573,5003,24,10.2%
